Unnamed: 0,Path,Canonical,Transcript,Error
0,L2_arctic_WAV/ABA_arctic_a0003,"[54, 40, 50, 63, 8, 3, 36, 52, 55, 3, 49, 24, 22, 3, 56, 68, 63, 64, 3, 49, 39, 55, 24, 10, 63, 8, 3, 6, 68, 52, 55, 9, 31, 28, 67, 64, 55, 58, 70]","[54, 40, 50, 63, 8, 3, 36, 52, 55, 3, 49, 24, 22, 3, 56, 68, 63, 64, 3, 49, 39, 55, 24, 10, 28, 63, 8, 3, 6, 68, 52, 55, 9, 31, 28, 67, 64, 55, 46, 46]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
1,L2_arctic_WAV/ABA_arctic_a0005,"[36, 24, 30, 36, 49, 52, 39, 7, 54, 40, 50, 59, 52, 3, 24, 3]","[36, 24, 30, 36, 49, 52, 39, 8, 54, 40, 50, 59, 52, 3, 52, 3]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]"
2,L2_arctic_WAV/ABA_arctic_a0006,"[59, 17, 58, 37, 30, 52, 46, 8, 68, 56, 67, 14, 48, 56, 30, 59, 14, 40, 55, 46, 49, 24, 10, 63, 52, 68, 54, 7, 52, 39, 7]","[59, 17, 58, 37, 30, 52, 46, 63, 8, 68, 56, 67, 14, 48, 56, 30, 59, 14, 40, 55, 46, 49, 24, 10, 63, 52, 68, 54, 7, 52, 39, 8]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
3,L2_arctic_WAV/ABA_arctic_a0007,"[64, 55, 58, 29, 6, 40, 30, 36, 49, 70, 36, 40, 55, 3, 3, 6, 46, 49, 24, 3, 24, 55, 63, 8, 46, 31, 48, 7, 30, 8, 3, 24, 39, 58, 24, 59, 50, 49]","[64, 55, 58, 29, 6, 40, 30, 36, 49, 70, 36, 40, 55, 3, 3, 6, 46, 49, 52, 3, 52, 55, 63, 8, 46, 31, 37, 7, 30, 8, 3, 24, 39, 58, 24, 59, 66, 49]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
4,L2_arctic_WAV/ABA_arctic_a0008,"[59, 64, 58, 29, 31, 50, 30, 52, 3, 7, 28, 60, 68, 69, 8, 46, 3, 24, 55, 3, 56, 68]","[59, 64, 58, 29, 31, 66, 30, 52, 3, 66, 28, 60, 68, 69, 8, 46, 3, 24, 55, 3, 56, 68]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,L2_arctic_WAV/ABA_arctic_a0010,"[56, 68, 48, 30, 60, 24, 10, 8, 46, 24, 10, 59, 8, 30, 67, 64, 55, 58, 24, 55, 36, 8, 3, 30, 31, 28, 46, 30, 56, 28, 8, 30, 6, 70, 24, 10, 59, 60, 68]","[56, 68, 48, 30, 60, 24, 10, 8, 46, 24, 10, 59, 8, 30, 67, 64, 55, 58, 24, 55, 36, 8, 3, 30, 31, 28, 46, 30, 56, 28, 8, 30, 6, 70, 24, 10, 59, 60, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,L2_arctic_WAV/ABA_arctic_a0011,"[24, 54, 56, 52, 39, 7, 55, 49, 58, 24, 58, 8, 54, 56, 3, 7, 24, 55, 68, 56, 30, 56, 54, 56, 55, 49, 58, 36, 8, 55, 55, 15]","[24, 54, 56, 52, 39, 8, 55, 49, 58, 24, 58, 8, 54, 56, 3, 7, 24, 55, 68, 56, 30, 56, 54, 56, 55, 49, 58, 36, 8, 55, 55, 15]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,L2_arctic_WAV/ABA_arctic_a0013,"[67, 49, 36, 40, 70, 8, 67, 52, 58, 9, 40, 50, 3, 7, 63, 64, 55, 67, 24, 70, 28, 8, 68, 48, 64, 55, 29, 8, 55, 8, 39, 40, 30, 68, 14, 46, 3, 58, 52, 30, 8, 28, 8, 3, 54, 8, 70, 49, 28]","[67, 49, 36, 40, 70, 8, 67, 52, 58, 9, 40, 50, 3, 7, 63, 64, 55, 67, 24, 70, 28, 8, 68, 37, 64, 55, 29, 8, 55, 8, 39, 40, 30, 68, 14, 46, 3, 58, 52, 30, 8, 28, 60, 3, 54, 8, 70, 49, 28]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
8,L2_arctic_WAV/ABA_arctic_a0018,"[63, 52, 50, 36, 17, 70, 8, 35, 60, 55, 69, 55, 15]","[70, 52, 66, 36, 17, 70, 8, 35, 60, 55, 69, 55, 15]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,L2_arctic_WAV/ABA_arctic_a0019,"[56, 54, 17, 30, 14, 58, 63, 8, 30, 56, 55, 8, 39, 63, 8, 48, 50, 8, 48, 14, 70, 58, 50, 60, 30, 50, 14, 58, 30, 31, 28, 24, 10, 54, 40, 50, 35, 64, 55, 46, 24, 70]","[56, 54, 17, 30, 14, 58, 63, 8, 30, 56, 55, 8, 39, 63, 8, 48, 50, 8, 48, 14, 70, 58, 66, 60, 30, 66, 14, 58, 30, 31, 28, 24, 10, 54, 40, 50, 35, 64, 55, 46, 24, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,L2_arctic_WAV/ABA_arctic_a0020,"[28, 30, 8, 37, 70, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 7, 49, 70]","[28, 30, 8, 37, 70, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 66, 40, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 66, 49, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]"
11,L2_arctic_WAV/ABA_arctic_a0021,"[24, 3, 54, 52, 50, 30, 49, 28, 30, 8, 37, 58, 68, 49, 24, 55, 3, 6, 50, 52, 28, 8, 59, 55, 56, 70, 24, 10, 24, 3]","[24, 3, 54, 52, 50, 30, 49, 28, 30, 8, 37, 58, 68, 49, 24, 55, 3, 6, 61, 52, 28, 8, 59, 55, 56, 70, 24, 10, 28, 24, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
